 count |    mac_prefix     
     1 | c0:4a:00:00:00:00
     1 | 36:2e:86:00:00:00
     1 | ea:97:35:00:00:00
     1 | 44:91:db:00:00:00
     1 | 7e:94:09:00:00:00
     1 | 26:9f:a2:00:00:00
     1 | fa:ba:fb:00:00:00
     1 | a6:86:ed:00:00:00
     1 | d2:c8:dc:00:00:00
     1 | c4:62:ea:00:00:00
     1 | 18:83:31:00:00:00
     1 | 08:fd:0e:00:00:00
     1 | e0:f5:c6:00:00:00
     1 | 00:c0:59:00:00:00
     1 | 9e:68:6c:00:00:00
     1 | 14:a3:64:00:00:00
     1 | 78:a8:73:00:00:00
     1 | 42:f8:0f:00:00:00
     1 | 12:a5:d0:00:00:00
     1 | 32:56:c6:00:00:00
     1 | e8:92:a4:00:00:00
     1 | 16:37:fc:00:00:00
     1 | 1a:30:69:00:00:00
     1 | b0:45:19:00:00:00
     1 | 4a:e3:c4:00:00:00
     1 | d2:ec:c4:00:00:00
     1 | 0a:34:a0:00:00:00
     1 | 34:fc:ef:00:00:00
     1 | 4a:52:8a:00:00:00
     1 | cc:c3:ea:00:00:00
     1 | 78:6c:1c:00:00:00
     1 | 12:4e:69:00:00:00
     1 | 7e:9c:f9:00:00:00
     1 | e6:77:63:00:00:00
     1 | 8c:2d:aa:00:00:00
     1 | 78:3a:84:00:00:00
     1 | 62:9c:d6:00:00:00
     1 | 4a:af:84:00:00:00
     1 | 78:4b:87:00:00:00
     1 | b6:cf:96:00:00:00
     1 | 7e:1b:13:00:00:00
     1 | b6:62:36:00:00:00
     1 | 64:76:ba:00:00:00
     1 | ca:f4:45:00:00:00
     1 | 64:b8:53:00:00:00
     1 | aa:a3:cc:00:00:00
     1 | 3e:17:97:00:00:00
     1 | 00:21:86:00:00:00
     1 | 80:e6:50:00:00:00
     1 | d8:30:62:00:00:00
     1 | 00:08:22:00:00:00
     1 | c4:42:02:00:00:00
     1 | f8:0c:f3:00:00:00
     1 | 3c:df:bd:00:00:00
     1 | 00:23:68:00:00:00
     1 | 00:12:f0:00:00:00
     1 | 80:6c:1b:00:00:00
     1 | 56:4f:bf:00:00:00
     1 | 96:60:7a:00:00:00
     1 | de:b6:85:00:00:00
     1 | 9a:6e:b8:00:00:00
     1 | e2:0c:7f:00:00:00
     1 | 04:4b:ff:00:00:00
     1 | 56:33:16:00:00:00
     1 | 86:c5:f3:00:00:00
     1 | 90:fd:61:00:00:00
     1 | 4c:aa:16:00:00:00
     1 | b2:73:99:00:00:00
     1 | c6:44:53:00:00:00
     1 | f4:9f:f3:00:00:00
     1 | 00:88:65:00:00:00
     1 | 8c:77:16:00:00:00
     1 | 0c:14:20:00:00:00
     1 | 5e:c3:6b:00:00:00
     1 | dc:f1:10:00:00:00
     1 | 9c:68:6c:00:00:00
     1 | 2c:5a:05:00:00:00
     1 | 9e:e6:35:00:00:00
     1 | de:2d:ba:00:00:00
     1 | 86:53:c3:00:00:00
     1 | d0:23:db:00:00:00
     1 | 24:e3:14:00:00:00
     1 | b6:43:1d:00:00:00
     1 | cc:55:ad:00:00:00
     1 | 90:68:c3:00:00:00
     1 | 7a:e7:d4:00:00:00
     1 | bc:d1:d3:00:00:00
     1 | b6:6d:d8:00:00:00
     1 | 7c:c3:a1:00:00:00
     1 | 0c:30:21:00:00:00
     1 | 5a:4f:c3:00:00:00
     1 | f0:99:bf:00:00:00
